name,desc,star,fork,created_at,updated_at,lang
facebook/react,The library for web and native user interfaces.,217982,45977,2013-05-24T16:15:54Z,2024-01-30T05:27:05Z,JavaScript
vuejs/vue,"This is the repo for Vue 2. For Vue 3, go to https://github.com/vuejs/core",206272,34660,2013-07-29T03:24:51Z,2024-01-30T04:21:56Z,TypeScript
twbs/bootstrap,"The most popular HTML, CSS, and JavaScript framework for developing responsive, mobile first projects on the web.",166633,79176,2011-07-29T21:19:00Z,2024-01-30T04:09:12Z,JavaScript
Significant-Gravitas/AutoGPT,"AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters.",157082,39768,2023-03-16T09:21:07Z,2024-01-30T05:45:16Z,JavaScript
microsoft/vscode,Visual Studio Code,155371,28127,2015-09-03T20:23:38Z,2024-01-30T03:49:55Z,TypeScript
airbnb/javascript,JavaScript Style Guide,140196,26614,2012-11-01T23:13:50Z,2024-01-30T05:34:39Z,JavaScript
vercel/next.js,The React Framework,117345,25586,2016-10-05T23:32:51Z,2024-01-30T05:41:37Z,JavaScript
axios/axios,Promise based HTTP client for the browser and node.js,103209,10894,2014-08-18T22:30:27Z,2024-01-30T05:29:12Z,JavaScript
facebook/create-react-app,Set up a modern web app by running one command.,101490,26949,2016-07-17T14:55:11Z,2024-01-29T22:35:23Z,JavaScript
nodejs/node,Node.js JavaScript runtime ✨🐢🚀✨,101404,28405,2014-11-26T19:57:11Z,2024-01-30T05:25:22Z,JavaScript
mrdoob/three.js,JavaScript 3D Library.,97178,35356,2010-03-23T18:58:01Z,2024-01-30T04:59:10Z,JavaScript
microsoft/TypeScript,TypeScript is a superset of JavaScript that compiles to clean JavaScript output.,96410,12487,2014-06-17T15:28:39Z,2024-01-30T05:32:35Z,TypeScript
angular/angular,Deliver web apps with confidence 🚀,93379,25120,2014-09-18T16:12:01Z,2024-01-30T05:48:48Z,TypeScript
mui/material-ui,"MUI Core: Ready-to-use foundational React components, free forever. It includes Material UI, which implements Google's Material Design.",90548,31237,2014-08-18T19:11:54Z,2024-01-30T05:47:27Z,TypeScript
ant-design/ant-design,An enterprise-class UI design language and React UI library,89142,44229,2015-04-24T15:37:24Z,2024-01-30T03:31:00Z,TypeScript
puppeteer/puppeteer,Node.js API for Chrome ,85890,9213,2017-05-09T22:16:13Z,2024-01-30T05:22:25Z,TypeScript
gothinkster/realworld,"""The mother of all demo apps"" — Exemplary fullstack Medium.com clone powered by React, Angular, Node, Django, and many more",77518,7212,2016-02-26T20:49:53Z,2024-01-30T05:20:08Z,TypeScript
sveltejs/svelte,Cybernetically enhanced web apps,75176,4265,2016-11-20T18:13:05Z,2024-01-30T05:27:50Z,JavaScript
iptv-org/iptv,Collection of publicly available IPTV channels from all over the world,75000,1462,2018-11-14T22:00:57Z,2024-01-30T04:05:09Z,JavaScript
FortAwesome/Font-Awesome,"The iconic SVG, font, and CSS toolkit",72726,12491,2012-02-17T14:19:43Z,2024-01-30T03:45:04Z,JavaScript
typicode/json-server,Get a full fake REST API with zero coding in less than 30 seconds (seriously),70277,6949,2013-11-27T13:21:13Z,2024-01-30T04:52:50Z,JavaScript
excalidraw/excalidraw,Virtual whiteboard for sketching hand-drawn like diagrams,66700,5924,2020-01-02T01:04:43Z,2024-01-30T05:47:59Z,TypeScript
hakimel/reveal.js,The HTML Presentation Framework,66384,16917,2011-06-07T18:54:22Z,2024-01-30T04:29:29Z,JavaScript
mermaid-js/mermaid,Generation of diagrams like flowcharts or sequence diagrams from text in a similar manner as markdown,64696,5686,2014-11-01T23:52:32Z,2024-01-30T05:44:14Z,JavaScript
coder/code-server,VS Code in the browser,63979,5395,2019-02-27T16:50:41Z,2024-01-30T04:55:49Z,TypeScript
webpack/webpack,"A bundler for javascript and friends. Packs many modules into a few bundled assets. Code Splitting allows for loading parts of the application on demand. Through ""loaders"", modules can be CommonJs, AMD, ES6 modules, CSS, Images, JSON, Coffeescript, LESS, ... and your custom stuff.",63895,8958,2012-03-10T10:08:14Z,2024-01-30T02:54:19Z,JavaScript
vitejs/vite,Next generation frontend tooling. It's fast!,62901,5657,2020-04-21T05:03:57Z,2024-01-30T04:40:54Z,TypeScript
expressjs/express,"Fast, unopinionated, minimalist web framework for node.",62870,12928,2009-06-26T18:56:01Z,2024-01-30T04:43:02Z,JavaScript
chartjs/Chart.js,Simple HTML5 Charts using the <canvas> tag,62859,12027,2013-03-17T23:56:36Z,2024-01-30T05:39:46Z,JavaScript
anuraghazra/github-readme-stats,:zap: Dynamically generated stats for your github readmes,62823,20029,2020-07-09T10:34:22Z,2024-01-30T05:35:38Z,JavaScript
nestjs/nest,"A progressive Node.js framework for building efficient, scalable, and enterprise-grade server-side applications with TypeScript/JavaScript 🚀",62524,7325,2017-02-04T20:12:52Z,2024-01-30T05:37:30Z,TypeScript
supabase/supabase,The open source Firebase alternative.,62375,5772,2019-10-12T05:56:49Z,2024-01-30T05:39:18Z,TypeScript
reduxjs/redux,Predictable state container for JavaScript apps,60242,15481,2015-05-29T23:53:15Z,2024-01-30T03:45:19Z,TypeScript
atom/atom,:atom: The hackable text editor,59874,18402,2012-01-20T18:18:21Z,2024-01-30T03:10:02Z,JavaScript
socketio/socket.io,Realtime application framework (Node.JS server),59715,10253,2010-03-11T18:24:48Z,2024-01-30T00:48:56Z,TypeScript
adam-p/markdown-here,"Google Chrome, Firefox, and Thunderbird extension that lets you write email in Markdown and render it before sending.",59375,11424,2012-05-13T03:27:22Z,2024-01-30T04:31:19Z,JavaScript
ChatGPTNextWeb/ChatGPT-Next-Web,A cross-platform ChatGPT/Gemini UI (Web / PWA / Linux / Win / MacOS). 一键拥有你自己的跨平台 ChatGPT/Gemini 应用。,59330,51401,2023-03-10T18:27:54Z,2024-01-30T05:48:38Z,TypeScript
grafana/grafana,"The open and composable observability and data visualization platform. Visualize metrics, logs, and traces from multiple sources like Prometheus, Loki, Elasticsearch, InfluxDB, Postgres and many more. ",59021,11582,2013-12-11T15:59:56Z,2024-01-30T02:08:25Z,TypeScript
angular/angular.js,AngularJS - HTML enhanced for web apps!,59002,28129,2010-01-06T00:34:37Z,2024-01-30T05:45:05Z,JavaScript
strapi/strapi,"🚀 Strapi is the leading open-source headless CMS. It’s 100% JavaScript/TypeScript, fully customizable and developer-first.",58609,7406,2015-09-30T15:34:48Z,2024-01-30T05:35:41Z,TypeScript
microsoft/playwright,"Playwright is a framework for Web Testing and Automation. It allows testing Chromium, Firefox and WebKit with a single API. ",58571,3281,2019-11-15T18:32:42Z,2024-01-30T05:45:30Z,TypeScript
hoppscotch/hoppscotch,👽 Open source API development ecosystem - https://hoppscotch.io,58431,4095,2019-08-21T13:15:24Z,2024-01-30T05:23:57Z,TypeScript
lodash/lodash,"A modern JavaScript utility library delivering modularity, performance, & extras.",58386,7184,2012-04-07T04:11:46Z,2024-01-30T02:39:44Z,JavaScript
jquery/jquery,jQuery JavaScript Library,58329,20945,2009-04-03T15:20:14Z,2024-01-30T05:38:09Z,JavaScript
apache/echarts,"Apache ECharts is a powerful, interactive charting and data visualization library for browser",57785,19669,2013-04-03T03:18:59Z,2024-01-30T05:28:44Z,TypeScript
apache/superset,Apache Superset is a Data Visualization and Data Exploration Platform,56448,12201,2015-07-21T18:55:34Z,2024-01-30T02:26:49Z,TypeScript
h5bp/html5-boilerplate,"A professional front-end template for building fast, robust, and adaptable web apps or sites.",55723,12543,2010-01-24T18:03:24Z,2024-01-30T02:28:44Z,JavaScript
gatsbyjs/gatsby,"The best React-based framework with performance, scalability and security built in.",54923,10599,2015-05-21T22:43:05Z,2024-01-29T20:11:29Z,JavaScript
Eugeny/tabby,A terminal for a more modern age,53517,3194,2016-12-23T09:06:10Z,2024-01-30T03:39:03Z,TypeScript
scutan90/DeepLearning-500-questions,深度学习500问，以问答形式对常用的概率知识、线性代数、机器学习、深度学习、计算机视觉等热点问题进行阐述，以帮助自己及有需要的读者。 全书分为18个章节，50余万字。由于水平有限，书中不妥之处恳请广大读者批评指正。   未完待续............ 如有意合作，联系scutjy2015@163.com                     版权所有，违权必究       Tan 2018.06,52469,15788,2018-06-27T06:36:45Z,2024-01-30T04:40:22Z,JavaScript
remix-run/react-router,Declarative routing for React,51550,10202,2014-05-16T22:22:51Z,2024-01-30T05:33:30Z,TypeScript
facebook/docusaurus,Easy to maintain open source documentation websites.,51010,7841,2017-06-20T16:13:53Z,2024-01-30T05:33:18Z,TypeScript
Semantic-Org/Semantic-UI,Semantic is a UI component framework based around useful principles from natural language.,50919,5098,2013-04-08T23:32:04Z,2024-01-30T04:09:15Z,JavaScript
nuxt/nuxt,The Intuitive Vue Framework.,50163,4723,2016-10-26T11:18:47Z,2024-01-30T05:27:31Z,TypeScript
ionic-team/ionic-framework,"A powerful cross-platform UI toolkit for building native-quality iOS, Android, and Progressive Web Apps with HTML, CSS, and JavaScript.",50119,13747,2013-08-20T23:06:02Z,2024-01-29T23:13:03Z,TypeScript
juliangarnier/anime,JavaScript animation engine,48167,3781,2016-03-13T21:37:45Z,2024-01-30T05:36:30Z,JavaScript
moment/moment,"Parse, validate, manipulate, and display dates in javascript.",47704,7233,2011-03-01T02:46:06Z,2024-01-30T04:50:33Z,JavaScript
prettier/prettier,Prettier is an opinionated code formatter.,47697,4243,2016-11-29T17:13:37Z,2024-01-30T05:20:37Z,JavaScript
shadcn-ui/ui,Beautifully designed components that you can copy and paste into your apps. Accessible. Customizable. Open Source.,46530,2371,2023-01-04T12:43:27Z,2024-01-30T05:46:51Z,TypeScript
DefinitelyTyped/DefinitelyTyped,The repository for high quality TypeScript type definitions.,46448,29822,2012-10-05T16:39:45Z,2024-01-30T03:45:39Z,TypeScript
serverless/serverless,"⚡ Serverless Framework – Build web, mobile and IoT applications with serverless architectures using AWS Lambda, Azure Functions, Google CloudFunctions & more! – ",45797,5810,2015-04-21T03:48:40Z,2024-01-30T01:48:22Z,JavaScript
cypress-io/cypress,"Fast, easy and reliable testing for anything that runs in a browser.",45720,3143,2015-03-04T00:46:28Z,2024-01-30T04:40:59Z,JavaScript
mozilla/pdf.js,PDF Reader in JavaScript,45256,9786,2011-04-26T06:32:03Z,2024-01-30T04:17:51Z,JavaScript
jgraph/drawio-desktop,Official electron build of draw.io,45192,4681,2017-05-25T20:58:42Z,2024-01-30T05:44:03Z,JavaScript
iamkun/dayjs,⏰ Day.js 2kB immutable date-time library alternative to Moment.js with the same modern API,45184,2291,2018-04-10T09:26:44Z,2024-01-30T03:51:10Z,JavaScript
louislam/uptime-kuma,A fancy self-hosted monitoring tool,45079,4104,2021-07-03T01:02:42Z,2024-01-30T05:38:06Z,JavaScript
TryGhost/Ghost,"Independent technology for modern publishing, memberships, subscriptions and newsletters.",45015,10044,2013-05-04T11:09:13Z,2024-01-30T05:35:38Z,JavaScript
meteor/meteor,"Meteor, the JavaScript App Platform",43971,5429,2012-01-19T01:58:17Z,2024-01-30T00:50:10Z,JavaScript
marktext/marktext,"📝A simple and elegant markdown editor, available for Linux, macOS and Windows.",43356,3319,2017-11-12T16:05:25Z,2024-01-30T05:34:44Z,JavaScript
jestjs/jest,Delightful JavaScript Testing.,43265,6599,2013-12-10T00:18:04Z,2024-01-30T05:24:06Z,TypeScript
vuejs/core,"🖖 Vue.js is a progressive, incrementally-adoptable JavaScript framework for building UI on the web.",42949,7782,2018-06-12T13:49:36Z,2024-01-30T05:26:54Z,TypeScript
parcel-bundler/parcel,The zero configuration build tool for the web. 📦🚀,42940,2350,2017-08-07T16:36:47Z,2024-01-30T01:28:27Z,JavaScript
babel/babel,🐠 Babel is a compiler for writing next generation JavaScript.,42767,5879,2014-09-28T13:38:23Z,2024-01-30T04:37:10Z,TypeScript
vercel/hyper,A terminal built on web technologies,42241,3581,2016-07-01T06:01:21Z,2024-01-30T03:59:21Z,TypeScript
agalwood/Motrix,A full-featured download manager.,41917,4395,2018-12-18T11:45:05Z,2024-01-30T05:12:03Z,JavaScript
pixijs/pixijs,"The HTML5 Creation Engine: Create beautiful digital content with the fastest, most flexible 2D WebGL renderer.",41832,4884,2013-01-21T22:40:50Z,2024-01-30T04:22:41Z,TypeScript
gorhill/uBlock,uBlock Origin - An efficient blocker for Chromium and Firefox. Fast and lean.,41594,3027,2015-04-01T17:51:11Z,2024-01-30T05:34:31Z,JavaScript
yarnpkg/yarn,The 1.x line is frozen - features and bugfixes now happen on https://github.com/yarnpkg/berry,41307,2933,2016-01-19T17:39:16Z,2024-01-29T15:30:51Z,JavaScript
laurent22/joplin,"Joplin - the secure note taking and to-do app with synchronisation capabilities for Windows, macOS, Linux, Android and iOS.",40548,4365,2017-01-16T21:49:41Z,2024-01-30T05:41:23Z,TypeScript
nocodb/nocodb,🔥 🔥 🔥 Open Source Airtable Alternative,40418,2697,2017-10-29T18:51:48Z,2024-01-30T03:59:16Z,TypeScript
Unitech/pm2,Node.js Production Process Manager with a built-in Load Balancer.,40237,2606,2013-05-21T03:25:25Z,2024-01-30T04:23:51Z,JavaScript
nwjs/nw.js,Call all Node.js modules directly from DOM/WebWorker and enable a new way of writing applications with all Web technologies.,40021,3976,2012-01-04T06:21:10Z,2024-01-30T03:32:18Z,JavaScript
styled-components/styled-components,Visual primitives for the component age. Use the best bits of ES6 and CSS to style your apps without stress 💅,39860,2547,2016-08-16T06:41:32Z,2024-01-30T04:52:54Z,TypeScript
pmndrs/zustand,🐻 Bear necessities for state management in React,39566,1237,2019-04-09T09:10:06Z,2024-01-30T05:24:37Z,TypeScript
streamich/react-use,React Hooks — 👍,39386,3095,2018-10-27T10:16:05Z,2024-01-30T05:19:24Z,TypeScript
GitSquared/edex-ui,"A cross-platform, customizable science fiction terminal emulator with advanced monitoring & touchscreen support.",39386,2490,2017-01-28T09:35:02Z,2024-01-30T03:18:46Z,JavaScript
Leaflet/Leaflet,🍃 JavaScript library for mobile-friendly interactive maps 🇺🇦,39344,5854,2010-09-22T16:57:44Z,2024-01-30T05:05:01Z,JavaScript
withastro/astro,"The web framework that scales with you — Build fast content sites, powerful web applications, dynamic server APIs, and everything in-between ⭐️ Star to support our work!",39289,2070,2021-03-15T17:19:47Z,2024-01-30T05:24:23Z,TypeScript
appwrite/appwrite,Build like a team of hundreds_,39118,3606,2019-04-08T16:36:25Z,2024-01-30T04:10:20Z,TypeScript
dcloudio/uni-app,A cross-platform framework using Vue.js,39052,3596,2018-07-12T08:52:39Z,2024-01-30T05:18:34Z,JavaScript
